Player ID,Player,Team,FPL Pos,Status,Chance Play GW1,Predicted Starter,Start Prob,Mins If Start,Mins If Bench,User Mins Override
1,Raya,Arsenal,GK,Available,,True,0.99,90,0,
2,Arrizabalaga,Arsenal,GK,Available,,False,0.01,90,0,
3,Meslier,Arsenal,GK,Available,,False,0.00,90,0,
4,Gabriel,Arsenal,DEF,Available,,True,0.99,90,0,
5,J.Timber,Arsenal,DEF,Injured,0.0,False,0.00,65,25,
6,Saliba,Arsenal,DEF,Injured,0.0,False,0.00,90,0,
7,Lewis-Skelly,Arsenal,MID,Available,,False,0.35,80,25,
8,Calafiori,Arsenal,DEF,Available,,True,0.70,70,20,
9,Hincapie,Arsenal,DEF,Available,,False,0.30,75,20,
10,White,Arsenal,DEF,Available,100.0,True,0.95,80,20,
11,Mosquera,Arsenal,DEF,Available,,True,0.95,85,15,
12,Saka,Arsenal,MID,Available,,False,0.40,78,30,
13,Rice,Arsenal,MID,Available,,True,0.65,80,25,
14,Eze,Arsenal,MID,Available,,False,0.10,75,25,
15,Ødegaard,Arsenal,MID,Available,,True,0.95,82,20,
16,Madueke,Arsenal,MID,Available,,True,0.60,72,25,
17,Merino,Arsenal,MID,Available,,False,0.10,75,20,
18,Martinelli,Arsenal,MID,Available,,False,0.10,75,25,
19,Zubimendi,Arsenal,MID,Available,,False,0.10,80,20,
20,Dowman,Arsenal,MID,Available,,False,0.05,65,15,
21,Nørgaard,Arsenal,MID,Available,,False,0.05,75,20,
22,Nwaneri,Arsenal,MID,Available,,False,0.05,70,20,
23,Fábio Vieira,Arsenal,MID,Available,,False,0.00,70,20,
24,Nelson,Arsenal,MID,Available,,False,0.00,70,20,
25,Gyökeres,Arsenal,FWD,Available,,False,0.30,75,30,
26,Havertz,Arsenal,FWD,Available,,True,0.70,78,20,
27,G.Jesus,Arsenal,FWD,Available,,False,0.00,70,20,
557,Tzolis,Arsenal,MID,Available,,True,0.90,75,20,
28,Martinez,Aston Villa,GK,Available,,False,,,,
29,M.Bizot,Aston Villa,GK,Available,,False,,,,
30,Digne,Aston Villa,DEF,Available,,False,,,,
31,Konsa,Aston Villa,DEF,Available,,False,,,,
32,Cash,Aston Villa,DEF,Available,,False,,,,
33,Mings,Aston Villa,DEF,Available,,False,,,,
34,Pau,Aston Villa,DEF,Available,,False,,,,
35,Bogarde,Aston Villa,MID,Available,,False,,,,
36,Maatsen,Aston Villa,DEF,Available,,False,,,,
37,Lindelöf,Aston Villa,DEF,Available,,False,,,,
38,A.García,Aston Villa,DEF,Available,,False,,,,
39,Nedeljkovic,Aston Villa,DEF,Available,,False,,,,
41,Buendía,Aston Villa,MID,Available,,False,,,,
42,Guessand,Aston Villa,MID,Available,,False,,,,
44,Bailey,Aston Villa,MID,Available,,False,,,,
45,McGinn,Aston Villa,MID,Available,,False,,,,
46,Barkley,Aston Villa,MID,Available,,False,,,,
47,Kamara,Aston Villa,MID,Doubtful,75.0,False,,,,
48,Onana,Aston Villa,MID,Injured,0.0,False,,,,
49,Iling Jr,Aston Villa,MID,Available,,False,,,,
50,Burrowes,Aston Villa,MID,Available,,False,,,,
51,George Hemmings,Aston Villa,MID,Available,,False,,,,
52,Alysson,Aston Villa,MID,Available,,False,,,,
53,Manzambi,Aston Villa,MID,Available,,False,,,,
54,Gomes,Aston Villa,MID,Available,,False,,,,
55,Watkins,Aston Villa,FWD,Available,,False,,,,
56,Abraham,Aston Villa,FWD,Injured,0.0,False,,,,
160,Garnacho,Aston Villa,MID,Available,,False,,,,
57,Petrović,Bournemouth,GK,Available,,False,,,,
58,Forster,Bournemouth,GK,Available,,False,,,,
59,Dennis,Bournemouth,GK,Available,,False,,,,
60,Hill,Bournemouth,DEF,Available,,False,,,,
61,Truffert,Bournemouth,DEF,Available,,False,,,,
62,Diakité,Bournemouth,DEF,Available,,False,,,,
63,Milosavljević,Bournemouth,DEF,Available,,False,,,,
64,Smith,Bournemouth,DEF,Available,,False,,,,
65,J.Araujo,Bournemouth,DEF,Available,,False,,,,
66,Soler,Bournemouth,DEF,Available,,False,,,,
67,Rayan,Bournemouth,MID,Available,,False,,,,
68,Tavernier,Bournemouth,MID,Available,,False,,,,
69,Scott,Bournemouth,MID,Available,,False,,,,
70,Kluivert,Bournemouth,MID,Available,,False,,,,
71,Cook,Bournemouth,MID,Available,,False,,,,
72,Gannon-Doak,Bournemouth,MID,Available,,False,,,,
73,Adams,Bournemouth,MID,Available,,False,,,,
74,Brooks,Bournemouth,MID,Available,,False,,,,
75,Christie,Bournemouth,MID,Suspended,0.0,False,,,,
76,Tóth.A,Bournemouth,MID,Available,,False,,,,
77,Adli,Bournemouth,MID,Available,,False,,,,
78,Kroupi.Jr,Bournemouth,MID,Injured,0.0,False,,,,
79,Evanilson,Bournemouth,FWD,Available,,False,,,,
80,Enes Ünal,Bournemouth,FWD,Available,,False,,,,
81,Rodríguez,Bournemouth,FWD,Available,,False,,,,
566,Silva,Bournemouth,DEF,Available,,False,,,,
82,Kelleher,Brentford,GK,Available,,False,,,,
83,Valdimarsson,Brentford,GK,Available,,False,,,,
84,Collins,Brentford,DEF,Available,,False,,,,
85,Van den Berg,Brentford,DEF,Available,,False,,,,
86,Lewis-Potter,Brentford,MID,Available,,False,,,,
87,Ajer,Brentford,DEF,Available,,False,,,,
88,Kayode,Brentford,DEF,Available,,False,,,,
89,Henry,Brentford,DEF,Available,,False,,,,
90,Hickey,Brentford,DEF,Available,,False,,,,
91,Pinnock,Brentford,DEF,Available,,False,,,,
92,Ji-soo,Brentford,DEF,Available,,False,,,,
93,Schuster,Brentford,DEF,Available,,False,,,,
94,Schade,Brentford,MID,Available,,False,,,,
95,O.Dango,Brentford,MID,Available,,False,,,,
96,Damsgaard,Brentford,MID,Available,,False,,,,
97,Jensen,Brentford,MID,Available,,False,,,,
98,Janelt,Brentford,MID,Available,,False,,,,
99,Milambo,Brentford,MID,Doubtful,75.0,False,,,,
100,Carvalho,Brentford,MID,Injured,0.0,False,,,,
101,Henderson,Brentford,MID,Unavailable,0.0,False,,,,
102,Yarmoliuk,Brentford,MID,Available,,False,,,,
103,Dasilva,Brentford,MID,Available,,False,,,,
105,Anthony,Brentford,MID,Available,,False,,,,
106,Thiago,Brentford,FWD,Available,,False,,,,
107,Furo,Brentford,FWD,Available,,False,,,,
108,Wilson,Brentford,FWD,Available,,False,,,,
565,Sangaré,Brentford,MID,Available,,False,,,,
109,Verbruggen,Brighton,GK,Available,,False,,,,
110,Rushworth,Brighton,GK,Available,,False,,,,
111,Steele,Brighton,GK,Available,,False,,,,
113,F.Kadıoğlu,Brighton,DEF,Available,,False,,,,
114,Boscagli,Brighton,DEF,Available,,False,,,,
115,De Cuyper,Brighton,DEF,Available,,False,,,,
116,Dunk,Brighton,DEF,Available,,False,,,,
117,Coppola,Brighton,DEF,Available,,False,,,,
118,Igor,Brighton,DEF,Available,,False,,,,
119,Costinha,Brighton,DEF,Available,,False,,,,
120,Svoboda,Brighton,DEF,Available,,False,,,,
121,Mitoma,Brighton,MID,Injured,0.0,False,,,,
122,Minteh,Brighton,MID,Available,,False,,,,
123,Hinshelwood,Brighton,MID,Available,,False,,,,
124,Groß,Brighton,MID,Available,,False,,,,
125,Georginio,Brighton,FWD,Available,,False,,,,
126,O'Riley,Brighton,MID,Available,,False,,,,
127,Gomez,Brighton,MID,Available,,False,,,,
128,Buonanotte,Brighton,MID,Available,,False,,,,
129,Ayari,Brighton,MID,Available,,False,,,,
130,Wieffer,Brighton,DEF,Available,,False,,,,
131,Baleba,Brighton,MID,Available,,False,,,,
132,Howell,Brighton,MID,Available,,False,,,,
133,Watson,Brighton,MID,Unavailable,0.0,False,,,,
134,Oriola,Brighton,MID,Available,,False,,,,
135,Yohanna,Brighton,MID,Available,,False,,,,
137,Tzimas,Brighton,FWD,Doubtful,75.0,False,,,,
138,Kostoulas,Brighton,FWD,Available,,False,,,,
139,Ferguson,Brighton,FWD,Injured,0.0,False,,,,
328,Struijk,Brighton,DEF,Available,,False,,,,
504,Vuskovic,Brighton,DEF,Available,,False,,,,
40,Rogers,Chelsea,MID,Available,,False,,,,
136,Welbeck,Chelsea,FWD,Available,,False,,,,
140,Sánchez,Chelsea,GK,Available,,False,,,,
141,Jörgensen,Chelsea,GK,Available,,False,,,,
142,James,Chelsea,DEF,Available,,False,,,,
143,Chalobah,Chelsea,DEF,Available,,False,,,,
144,Gusto,Chelsea,DEF,Available,,False,,,,
145,Fofana,Chelsea,DEF,Suspended,0.0,False,,,,
146,B.Badiashile,Chelsea,DEF,Available,,False,,,,
147,Tosin,Chelsea,DEF,Available,,False,,,,
148,Hato,Chelsea,DEF,Available,,False,,,,
149,Colwill,Chelsea,DEF,Available,,False,,,,
150,M.Sarr,Chelsea,DEF,Available,,False,,,,
151,Acheampong,Chelsea,DEF,Available,,False,,,,
152,Palestra,Chelsea,DEF,Available,,False,,,,
153,Disasi,Chelsea,DEF,Available,,False,,,,
154,Palmer,Chelsea,MID,Available,,False,,,,
155,Enzo,Chelsea,MID,Available,,False,,,,
156,Neto,Chelsea,MID,Available,,False,,,,
157,Estêvão,Chelsea,MID,Available,,False,,,,
158,Gittens,Chelsea,MID,Available,,False,,,,
159,Caicedo,Chelsea,MID,Available,,False,,,,
161,Lavia,Chelsea,MID,Available,,False,,,,
163,D.Essugo,Chelsea,MID,Available,,False,,,,
