Team Raw,Hist xG,Hist xGA,League,Matches,Team,xG / Match,xGA / Match
Manchester City,71.6,44.2,Premier League,38,Man City,1.8842105263157893,1.1631578947368422
Chelsea,66.5,52.3,Premier League,38,Chelsea,1.75,1.3763157894736842
Arsenal,65.6,28.3,Premier League,38,Arsenal,1.726315789473684,0.7447368421052631
Manchester United,65.3,48.6,Premier League,38,Man Utd,1.7184210526315788,1.2789473684210526
AFC Bournemouth,61.9,56.8,Premier League,38,Bournemouth,1.6289473684210527,1.4947368421052631
Liverpool,61.3,47.4,Premier League,38,Liverpool,1.6131578947368421,1.2473684210526315
Brentford,60.3,54.4,Premier League,38,Brentford,1.5868421052631578,1.431578947368421
Crystal Palace,58.2,51.9,Premier League,38,Crystal Palace,1.5315789473684212,1.3657894736842104
Brighton &amp; Hove Albion,57.9,49.1,Premier League,38,Brighton,1.5236842105263158,1.2921052631578949
Newcastle United,57.1,51.3,Premier League,38,Newcastle,1.5026315789473685,1.3499999999999999
Leeds United,54.2,55.7,Premier League,38,Leeds,1.4263157894736842,1.4657894736842105
Fulham,48.4,53.4,Premier League,38,Fulham,1.2736842105263158,1.4052631578947368
Aston Villa,48.2,53.9,Premier League,38,Aston Villa,1.2684210526315791,1.4184210526315788
Everton,46.7,56.5,Premier League,38,Everton,1.2289473684210528,1.486842105263158
Nottingham Forest,46.0,57.3,Premier League,38,Nott'm Forest,1.2105263157894737,1.5078947368421052
Tottenham Hotspur,40.0,52.3,Premier League,38,Spurs,1.0526315789473684,1.3763157894736842
Sunderland,38.9,54.4,Premier League,38,Sunderland,1.0236842105263158,1.431578947368421
Coventry City,87.3,50.2,Championship,46,Coventry City,1.8978260869565218,1.091304347826087
Ipswich Town,79.2,46.6,Championship,46,Ipswich Town,1.7217391304347827,1.0130434782608695
Hull City,59.7,80.1,Championship,46,Hull City,1.297826086956522,1.7413043478260868
